"项目","规格","验收","备注"
"维护保养
maintenance","2.设备投产后2个月内出现超过2H的异常累计10次保固期延长1年，2个月内超过2H的异常15次建议退机
2.After the equipment is put into operation ,the protection period is extended by 1 year for 10 times of abnormal occurrence over 2 hours in total within 2 months,if the equipment is abnormal for more than 2 hours for 15 times in 2months,it is suggested to return the machine.",,
"维护保养
maintenance","1.设备验收日起开始保固,保固期内厂商免费维修,异常通知2H回复,4H到厂.如长途交通因素双方议定到厂时间点，不可因人为因素拖延入厂
1.The warranty stars from the acceptance date of the equipment,during the warranty period,the manufacturer will maintain the equipment free of charge.If both parties negotiate the arrival time due to long-distance traffic,the arrival time should't be delayed due to human factors.",,
"维护保养
maintenance","3.相同厂牌规格的设备，不可变更任何规格，包括设备的硬件/软件及辅助设备，如有软体升级及优化效率提升的项目需提前告知，讨论后以会议记录形式执行
3.No specifications can be changed for equipment of the same brand specification, including the hardware / software and auxiliary equipment of the equipment. If there are software upgrades and optimization efficiency improvements, the items should be notified in advance and implemented in the form of minutes of the meeting after discussion.",,
"维护保养
maintenance","1.上述规格需求符合本公司规格时将列入采购比议价会议记录附件内,列为验收依据
1. The specifications of the above specifications meet the specifications of the company will be included in the procurement than the parliamentary record annex, as the basis for acceptance",,
"维护保养
maintenance","1.上述规格需求符合本公司规格时将列入采购比价议价会议记录附件内，列为验收依据
1. The specifications of the above specifications meet the specifications of the company will be included in the procurement than the parliamentary record annex, as the basis for acceptance",,
"维护保养
maintenance","3.提供操作，维修保养及相关校正之教育训练教材.
3.Provide education and training materials foroperation,maintenance and related correction.",,
"维护保养
maintenance","1.装机进度需在双方协商的时间内完成,Delay1天, 每天按设备总价的千分之五扣款.(单机设备装机时间<1周,线体设备<3周)，鹏鼎保留问责权利
1. The installation schedule shall be completed within the time of consultation between the parties. Delay1 days shall be deducted by 5% of the total price of the equipment. (Stand-alone equipment installation time less than 1 week, line device less than 3 weeks),AVARY HOLDING reserves the right to ask for responsibility .",,
"维护保养
maintenance","2.PC设备作业软件备份文件,备份硬盘提供1份(使用权转移提供含:密码,License,安装盘片)
2. PC equipment operating software backup file, backup hard disk to provide 1 (use of transfer to provide with: password, license, installation disc)",,"可其他方式提供备份"
"维护保养
maintenance","4.备品清单提供,要求a.标准件必需有品牌规格(网上可查到) b.非标准件必需有图纸,并注明材质等参数 c.所有配件必须有照片
4. provide spare parts inventory, requiring a. Standard parts must have brand specifications (can be found online) b. Must have non-standard drawings, and indicate the material parameters c. All parts must have photo",,
"维护保养
maintenance","3.设备说明书必须包含设备零件品牌规格型号表,表格内品牌规格与实物相符
3. The equipment manual must contain the brand ,specification and model list of equipment parts ,and the brand specifications in the table are consistent with the real object .",,
"维护保养
maintenance","2.电气元件配置图，使用零件名称规格明细，重要备品，明细及其使用寿命（需随机提供入厂）
2. Electrical components configuration diagram, the use of parts name specification details, important spare parts, details and life (to be provided to the factory)",,
"维护保养
maintenance","1.提供维护保养手册(机构图,电路图,气油压图),操作手册(需随机提供入厂)，海外厂区为本土语言及英文
1.Remind maintenance manual (mechanism diagram ,circuit diagram ,gas oil pressure diagram ), operation manual (need to be provided with the machine into the factory ),overseas factory in local language and English .",,
"维护保养
maintenance","3.设备运行时零件须有分类分段统计功能（类似汽车的公里数）：比如海绵轮有实际使用时间，设定时间及密码清零等，包含蚀刻1槽叶片滚轮，蚀刻2槽叶片滚轮，隔离段滚轮；插销、轴套等，并且可以上传到厂内的信息后台
3.Equipment running parts must have classification subsection statistical function (similar to the number of kilometers of the car): such as sponge wheel has the actual use of time, set time and password reset, including etching 1 slot blade wheel, etching 2 slot blade wheel, isolation segment wheel; Plugs, bushings, etc., and can be uploaded to the information background of the factory","YES","不涉及"
"机构设计配接
Organization design","2.压机冷却水供应温度35-40℃（特殊情况另案讨论）
2.Press cooling water supply temperature: 35–40°C (discussed separately in special cases)",,"不涉及"
"机构设计配接
Organization design","1.集团内部制程冰水(PCW)，线边支管供水温度13-15℃（特殊情况另案讨论）
1. Internal process chilled water (PCW) within the group, the supply temperature for the in-line branch pipes is 13-15°C (special cases to be discussed separately).",,"不涉及"
"机构设计配接
Organization design","3.设备与空压管预留点对接的管路材质要求为：金属管或高压软管
3. The pipe material requirements for the connection between the equipment and the reserved point of the air pressure pipe are: metal pipe or high-pressure hose",,"不涉及"
"机构设计配接
Organization design","7.镭射机台冰水管使用牙接软管，防止软管脱落
7.Laser machine coolant hoses use threaded connectors to prevent hose disconnection.",,"不涉及"
"机构设计配接
Organization design","6.设备上风管管路接口须采用标准设备型法兰接口，符合GB/T9112~9124系列及HG/T20592-2009的标准，以利于机电系统管路对接
6.The duct pipe interfaces on the equipment must use standard equipment flange interfaces, conforming to the GB/T 9112~9124 series and HG/T 20592-2009 standards, to facilitate connection with the mechanical and electrical system piping.",,"不涉及"
"机构设计配接
Organization design","5.球阀阀柄设计避开动线侧，或者增加护板，减少人员动线过程中误碰
5.Ball valve handle design to avoid the moving line side, or increase the guard plate, reduce personnel in the process of moving line collision",,"不涉及"
"机构设计配接
Organization design","4.所有螺杆丝杆运行结构须加装防尘罩
4. All screw screw operating structure to be installed dust cover",,"不涉及"
"机构设计配接
Organization design","3.气路&油路管路接头牙口需用螺纹胶密封固定
3. Gas Road & Oil Pipeline Joints Tooth mouths need to be screwed and sealed",,"不涉及"
"机构设计配接
Organization design","14.金属焊接件：有强度要求时，必须全周焊，不可点焊。
14.Metal welding parts: When strength is required, it must be welded all around, not spot welded",,
"机构设计配接
Organization design","13.设备出入口传送滚轮变更为可调整式自由轮，防止与其他设备连接中因速差问题造成产品拉扯质量不良
13.The transfer roller of the equipment entrance and exit is changed to an adjustable free wheel to prevent the poor quality of the product due to the speed difference in connection with other equipment.",,"不适用"
